time_stamp,pm2.5_atm,pm10.0_atm,SensorID
2025-09-01T00:00:00Z,7.1,8.1,103992
2025-10-01T00:00:00Z,5.8,6.9,103992
2025-02-01T00:00:00Z,22.6,30,104110
2025-03-01T00:00:00Z,11.4,14.1,104110
2025-04-01T00:00:00Z,11.1,13.5,104110
2025-08-01T00:00:00Z,12,13,104200
2025-09-01T00:00:00Z,14.5,15.8,104200
2025-08-01T00:00:00Z,5.5,8.2,104234
2025-09-01T00:00:00Z,14,16,104234
2025-10-01T00:00:00Z,24.2,29.1,104234
2025-02-01T00:00:00Z,11.8,13.8,104380
2025-03-01T00:00:00Z,5.7,7.2,104380
2025-04-01T00:00:00Z,6.5,8,104380
2025-05-01T00:00:00Z,9.6,11.6,104380
2025-06-01T00:00:00Z,12.2,14,104380
2025-07-01T00:00:00Z,9.5,10.6,104380
2025-08-01T00:00:00Z,13.6,15.2,104380
2025-09-01T00:00:00Z,10.4,12,104380
2025-10-01T00:00:00Z,9.3,10.7,104380
2025-02-01T00:00:00Z,4.7,5.2,104492
2025-07-01T00:00:00Z,43.5,74.2,104492
2025-08-01T00:00:00Z,7.4,8,104492
2025-09-01T00:00:00Z,4.3,4.6,104492
2025-10-01T00:00:00Z,2.9,3.1,104492
2025-02-01T00:00:00Z,24.8,29.1,104508
2025-03-01T00:00:00Z,15.1,17.1,104508
2025-04-01T00:00:00Z,12.6,14,104508
2025-05-01T00:00:00Z,10.9,11.7,104508
2025-02-01T00:00:00Z,13.1,16.3,104688
2025-03-01T00:00:00Z,7,9,104688
2025-04-01T00:00:00Z,7.8,9.7,104688
2025-05-01T00:00:00Z,10.9,13.3,104688
2025-06-01T00:00:00Z,15.1,17.9,104688
2025-07-01T00:00:00Z,11.9,13.4,104688
2025-08-01T00:00:00Z,16,18.4,104688
2025-09-01T00:00:00Z,11.1,12.9,104688
2025-10-01T00:00:00Z,10,12,104688
2025-02-01T00:00:00Z,16.4,19.2,104900
2025-03-01T00:00:00Z,8.6,9.9,104900
2025-04-01T00:00:00Z,9.8,11,104900
2025-05-01T00:00:00Z,12.7,14.4,104900
2025-06-01T00:00:00Z,17.9,20.3,104900
2025-07-01T00:00:00Z,17.5,19.7,104900
2025-02-01T00:00:00Z,10.7,12.8,104908
2025-03-01T00:00:00Z,5.6,6.8,104908
2025-04-01T00:00:00Z,8.4,10.2,104908
2025-05-01T00:00:00Z,9.4,11.4,104908
2025-06-01T00:00:00Z,29.3,32,104908
2025-07-01T00:00:00Z,10.4,12,104908
2025-08-01T00:00:00Z,12.8,14.9,104908
2025-09-01T00:00:00Z,9.9,11.5,104908
2025-10-01T00:00:00Z,10.2,12.2,104908
2025-02-01T00:00:00Z,10.1,11.5,104916
2025-03-01T00:00:00Z,4.1,4.7,104916
2025-04-01T00:00:00Z,5.3,5.8,104916
2025-05-01T00:00:00Z,7.7,8.6,104916
2025-06-01T00:00:00Z,10.8,11.9,104916
